_id,date,employeeId,checkin,device,orgId,remark,status,checkout,overtimeHours,workedHours
"""616fe8ceefa7d9e678517a30""",2021-10-20,1000,1634706600000,,6166c3eedb12ba3708ab8cb0,present,pending,1634749800000,0,12.00
"""616fea11efa7d9e67851b974""",2021-10-20,1007,1634724694118,Card Reader,6166c3eedb12ba3708ab8cb0,late,pending,1634749776089,NaN,6.97
"""616fea19efa7d9e67851baf7""",2021-10-20,1002,1634724702614,Card Reader,6166c3eedb12ba3708ab8cb0,late,pending,1634749773658,NaN,6.96
"""616fea1defa7d9e67851bc3d""",2021-10-20,1004,1634724707022,Card Reader,6166c3eedb12ba3708ab8cb0,late,pending,1634749791682,NaN,6.97
"""616fea22efa7d9e67851bcff""",2021-10-20,1006,1634724711861,Card Reader,6166c3eedb12ba3708ab8cb0,late,pending,1634749733298,NaN,6.95
"""616fea25efa7d9e67851bd56""",2021-10-20,1001,1634724714485,Card Reader,6166c3eedb12ba3708ab8cb0,late,pending,1634749829011,NaN,6.98
"""616fea28efa7d9e67851be2f""",2021-10-20,1005,1634724717750,Card Reader,6166c3eedb12ba3708ab8cb0,late,pending,,,
"""616fea2befa7d9e67851bea1""",2021-10-20,1008,1634724720462,Card Reader,6166c3eedb12ba3708ab8cb0,late,pending,1634749731419,NaN,6.95
"""616fea2fefa7d9e67851bf32""",2021-10-20,1003,1634724724830,Card Reader,6166c3eedb12ba3708ab8cb0,late,pending,1634749734937,NaN,6.95
"""617009a4efa7d9e678590bf7""",2021-10-20,1002,1634710800000,,6166c3eedb12ba3708ab8cb0,present,pending,1634753280000,0,11.80
"""61704bd9efa7d9e67868bad4""",2021-10-20,1000,1634749727211,Card Reader,6166c3eedb12ba3708ab8cb0,late,pending,,,
"""61766facefa7d9e67891e784""",2021-10-11,1000,1633930200000,,6166c3eedb12ba3708ab8cb0,present,pending,,,
