_id,date,employeeId,checkin,device,orgId,remark,status,checkout,overtimeHours,workedHours
"""6170fc23efa7d9e678960477""",2021-10-21,1004,1634794857319,Card Reader,6166c3eedb12ba3708ab8cb0,present,pending,1634835875190,NaN,11.39
"""6170fc28efa7d9e67896059f""",2021-10-21,1002,1634794862732,Card Reader,6166c3eedb12ba3708ab8cb0,present,pending,1634835732664,NaN,11.35
"""6170fc2cefa7d9e6789606ec""",2021-10-21,1001,1634794866117,Card Reader,6166c3eedb12ba3708ab8cb0,present,pending,1634835905797,NaN,11.40
"""6170fc45efa7d9e678960d7f""",2021-10-21,1003,1634794891644,Card Reader,6166c3eedb12ba3708ab8cb0,present,pending,1634835724773,NaN,11.34
"""6170fc4defa7d9e678960f2a""",2021-10-21,1008,1634794899211,Card Reader,6166c3eedb12ba3708ab8cb0,present,pending,1634835719711,NaN,11.34
"""6170fc5fefa7d9e678961366""",2021-10-21,1005,1634794917403,Card Reader,6166c3eedb12ba3708ab8cb0,present,pending,1634835950788,NaN,11.40
"""6170fcf8efa7d9e6789637c0""",2021-10-21,1007,1634795070099,Card Reader,6166c3eedb12ba3708ab8cb0,present,pending,1634835943612,NaN,11.35
"""6170fd75efa7d9e678965583""",2021-10-21,1006,1634795195138,Card Reader,6166c3eedb12ba3708ab8cb0,present,pending,1634835785316,NaN,11.28
"""6170ffbcefa7d9e67896e78a""",2021-10-21,1000,1634795778244,Card Reader,6166c3eedb12ba3708ab8cb0,present,pending,1634835812110,NaN,11.12
"""61724e36efa7d9e678f6a378""",2021-10-22,1004,1634881406723,Card Reader,6166c3eedb12ba3708ab8cb0,late,pending,1634922482619,NaN,11.41
"""61724e3defa7d9e678f6a4bb""",2021-10-22,1008,1634881412960,Card Reader,6166c3eedb12ba3708ab8cb0,late,pending,1634922464275,NaN,11.40
"""61724e51efa7d9e678f6a98c""",2021-10-22,1007,1634881433290,Card Reader,6166c3eedb12ba3708ab8cb0,late,pending,1634922495630,NaN,11.41
"""61724e67efa7d9e678f6aec1""",2021-10-22,1003,1634881455228,Card Reader,6166c3eedb12ba3708ab8cb0,late,pending,1634922461362,NaN,11.39
"""61724e6aefa7d9e678f6afad""",2021-10-22,1005,1634881458249,Card Reader,6166c3eedb12ba3708ab8cb0,late,pending,1634922468916,NaN,11.39
"""61724ea2efa7d9e678f6bcf5""",2021-10-22,1001,1634881513972,Card Reader,6166c3eedb12ba3708ab8cb0,late,pending,1634922473253,NaN,11.38
"""61724eb9efa7d9e678f6c2ff""",2021-10-22,1000,1634881537432,Card Reader,6166c3eedb12ba3708ab8cb0,late,pending,1634922453805,NaN,11.37
"""61724ed3efa7d9e678f6c9ad""",2021-10-22,1002,1634881563024,Card Reader,6166c3eedb12ba3708ab8cb0,late,pending,1634922511187,NaN,11.37
"""617252f3efa7d9e678f7d4d0""",2021-10-22,1006,1634882618045,Card Reader,6166c3eedb12ba3708ab8cb0,late,pending,1634922493070,NaN,11.08
"""61766f88efa7d9e67891d098""",2021-10-25,1000,1635139800000,,6166c3eedb12ba3708ab8cb0,present,pending,1635154680000,0,4.12
